year,stage,team_home,team_away,score_90home,score_90away,score_ethome,score_etaway,score_penhome,score_penaway,outcome_type,winner,notes
1982,Semi-final,West Germany,France,3,3,3,3,5,4,penalties,West Germany,
1986,Round of 16,Soviet Union,Belgium,2,2,3,4,,,extra_time,Belgium,
1986,Quarter-final,Brazil,France,1,1,1,1,3,4,penalties,France,
1986,Quarter-final,West Germany,Mexico,0,0,0,0,4,1,penalties,West Germany,
1986,Quarter-final,Spain,Belgium,1,1,1,1,4,5,penalties,Belgium,
1986,Third place,France,Belgium,2,2,4,2,,,extra_time,France,
1990,Round of 16,Cameroon,Colombia,0,0,2,1,,,extra_time,Cameroon,
1990,Round of 16,Spain,Yugoslavia,1,1,1,2,,,extra_time,Yugoslavia,
1990,Round of 16,England,Belgium,0,0,1,0,,,extra_time,England,
1990,Round of 16,Republic of Ireland,Romania,0,0,0,0,5,4,penalties,Republic of Ireland,
1990,Quarter-final,Argentina,Yugoslavia,0,0,0,0,3,2,penalties,Argentina,
1990,Quarter-final,England,Cameroon,2,2,3,2,,,extra_time,England,
1990,Semi-final,Italy,Argentina,1,1,1,1,3,4,penalties,Argentina,
1990,Semi-final,West Germany,England,1,1,1,1,4,3,penalties,West Germany,
1994,Round of 16,Nigeria,Italy,1,1,1,2,,,extra_time,Italy,
1994,Round of 16,Mexico,Bulgaria,1,1,1,1,1,3,penalties,Bulgaria,
1994,Quarter-final,Romania,Sweden,2,2,2,2,4,5,penalties,Sweden,
1994,Final,Brazil,Italy,0,0,0,0,3,2,penalties,Brazil,
2006,Round of 16,Argentina,Mexico,1,1,2,1,,,extra_time,Argentina,
2006,Round of 16,Switzerland,Ukraine,0,0,0,0,0,3,penalties,Ukraine,
2006,Quarter-final,Germany,Argentina,1,1,1,1,4,2,penalties,Germany,
2006,Quarter-final,England,Portugal,0,0,0,0,1,3,penalties,Portugal,
2006,Semi-final,Germany,Italy,0,0,0,2,,,extra_time,Italy,
2006,Final,Italy,France,1,1,1,1,5,3,penalties,Italy,
2010,Round of 16,USA,Ghana,1,1,1,2,,,extra_time,Ghana,
2010,Round of 16,Paraguay,Japan,0,0,0,0,5,3,penalties,Paraguay,
2010,Quarter-final,Uruguay,Ghana,1,1,1,1,4,2,penalties,Uruguay,
2010,Final,Spain,Netherlands,0,0,1,0,,,extra_time,Spain,
2014,Round of 16,Brazil,Chile,1,1,1,1,3,2,penalties,Brazil,
2014,Round of 16,Germany,Algeria,0,0,2,1,,,extra_time,Germany,
2014,Round of 16,Argentina,Switzerland,0,0,1,0,,,extra_time,Argentina,
2014,Round of 16,Belgium,USA,0,0,2,1,,,extra_time,Belgium,
2014,Round of 16,Costa Rica,Greece,1,1,1,1,5,3,penalties,Costa Rica,
2014,Quarter-final,Netherlands,Costa Rica,0,0,0,0,4,3,penalties,Netherlands,
2014,Semi-final,Argentina,Netherlands,0,0,0,0,4,2,penalties,Argentina,
2014,Final,Germany,Argentina,0,0,1,0,,,extra_time,Germany,
2018,Round of 16,Russia,Spain,1,1,1,1,4,3,penalties,Russia,
2018,Round of 16,Croatia,Denmark,1,1,1,1,3,2,penalties,Croatia,
2018,Round of 16,Colombia,England,1,1,1,1,3,4,penalties,England,
2018,Quarter-final,Russia,Croatia,2,2,2,2,3,4,penalties,Croatia,
2018,Semi-final,Croatia,England,1,1,2,1,,,extra_time,Croatia,
2022,Round of 16,Japan,Croatia,1,1,1,1,1,3,penalties,Croatia,
2022,Round of 16,Morocco,Spain,0,0,0,0,3,0,penalties,Morocco,
2022,Quarter-final,Croatia,Brazil,1,1,1,1,4,2,penalties,Croatia,
2022,Quarter-final,Netherlands,Argentina,2,2,2,2,3,4,penalties,Argentina,
2022,Final,Argentina,France,3,3,3,3,4,2,penalties,Argentina,
